"Merge","Name","Base","right","left","a_mergeDate","c_mergeDate","a_baseDate","c_baseDate","a_rightDate","c_rightDate","a_leftDate","c_leftDate","rightFiles","rightAdditions","rightRemovals","leftFiles","leftAdditions","leftRemovals","nCommitsRight","authorsRight","nCommitsLeft","authorsLeft","conflict","bug"
"4df65121263fe9b3e488f81ce50d8f96e3643c21","nifi","53322c99ac0ec71d0bf2684d9b56c47b24b8774f","498b5023ce4f99e67184f399de740b142fca510d","16f185245309ac3bcf9629b1c4d4dc655f18ca68","2016-02-05 14:09:29 -0500","2016-02-05 14:09:29 -0500","2016-01-15 13:04:44 -0500","2016-01-21 12:39:45 -0500","2015-12-22 10:12:02 -0800","2016-02-04 19:40:55 -0500","2015-12-22 10:12:02 -0800","2016-02-04 19:40:55 -0500",314,28748,1775,191,8713,1314,72,16,54,4,5,1
"686d5fccac3e0308026548b58dfc90c31e41b5c9","camel","2b0513dfb1cc3e0768f198762f4faae0a2c2d480","69b00a31f7bff003fb530b9ce9fd8d368d61190e","8029d0c7663504b248f94f7daf36eda3e0b61060","2014-06-06 10:58:16 +0800","2014-06-06 10:58:16 +0800","2014-05-05 11:33:31 +0800","2014-05-05 11:33:31 +0800","2014-06-06 09:06:43 +0800","2014-06-06 09:06:43 +0800","2014-06-06 09:06:43 +0800","2014-06-06 09:06:43 +0800",247,9640,869,8,395,50,127,18,3,1,3,1
"fcf12fcae3c03e279f55c9ca451a4d3e48b0d4fb","flink","d847b7a34c561d420fc703d9df3cf984c533128a","9f065f8d7275c470c939f0309e3b07bdc5996519","d89ffca1e3a9ff53756914c45241234501435b1a","2011-01-11 18:32:17 +0100","2011-01-11 18:32:17 +0100","2010-12-17 11:13:57 +0100","2010-12-17 11:13:57 +0100","2011-01-07 11:23:41 +0100","2011-01-07 11:23:41 +0100","2011-01-07 11:23:41 +0100","2011-01-07 11:23:41 +0100",22,245,214,169,4642,4176,2,1,52,6,4,1
"716e03b502afa2f0f99e6b4a15f46e321c5ffda4","nifi","73384b23d1de7c814cd6b8089de7c893db057244","b942daa65ae4e2991d43a087fbcdde5057fbd463","cff8b0de40c66a9dfcceafc89502957fd49959ca","2015-01-22 10:59:36 -0500","2015-01-22 10:59:36 -0500","2015-01-16 11:29:35 -0500","2015-01-16 11:29:35 -0500","2015-01-22 09:07:51 -0500","2015-01-22 09:07:51 -0500","2015-01-22 09:07:51 -0500","2015-01-22 09:07:51 -0500",127,2377,632,2301,9534,21574,15,1,24,2,1,1
"5ea36eb99247e0629a4559afab25adf1cf2f4dc9","lucene-solr","f951625286f533fa06a7683a889bf0fa34e2a3cf","3b8d3f96744d10cb2cb5766c2650fbdf2f7fa9bd","61166afce792d038dac6911b8033c8d8017562f1","2015-04-02 15:37:39 +0000","2015-04-02 15:37:39 +0000","2015-04-01 15:29:42 +0000","2015-04-01 15:29:42 +0000","2015-04-01 18:32:57 +0000","2015-04-01 18:32:57 +0000","2015-04-01 18:32:57 +0000","2015-04-01 18:32:57 +0000",35,1198,1263,101,5384,2198,39,3,7,5,1,1
"10ba9abeb208d37df985e95a742f756de067353f","lucene-solr","36cc6e315c0fbec52446b864fa59ec70f1ed2548","f5dba8b76709ff0ef8715b8b288a4b64d4993fa3","d1165b19726fa0cd13a539827a7cd43237a4feef","2012-01-29 23:19:05 +0000","2012-01-29 23:19:05 +0000","2012-01-29 11:33:46 +0000","2012-01-29 11:33:46 +0000","2012-01-29 22:28:04 +0000","2012-01-29 22:28:04 +0000","2012-01-29 22:28:04 +0000","2012-01-29 22:28:04 +0000",286,2162,2639,61,1651,817,55,2,7,2,2,1
"4994631f15839673cf8643371c72ee1506d5e32d","groovy","5c1406cc5be8afc486c2e3e0bac39b23f00df70d","537dda1f761e49996054c7489985d0c0f17db91a","bdfc34a4f551a7221538679b0eef5b061c2516f0","2012-02-21 19:05:08 +0100","2012-02-21 19:05:08 +0100","2012-01-13 11:33:47 +0100","2012-01-13 15:50:59 +0100","2012-02-14 13:15:17 +0100","2012-02-14 13:15:17 +0100","2012-02-14 13:15:17 +0100","2012-02-14 13:15:17 +0100",117,4131,3105,253,12335,2105,80,2,357,12,7,1
"8de60477facdaea030721918f745319344d127c1","groovy","673d28305a369ea81af9085e0b67f6e49787d01b","467b089777a2ebafba7601991649786ccec9dea9","01d061a860c3df518b155df7550806e34380ff3a","2012-02-04 21:14:23 +1000","2012-02-04 21:14:23 +1000","2011-12-27 14:23:12 +0100","2011-12-27 14:23:12 +0100","2012-02-04 20:59:42 +1000","2012-02-04 20:59:42 +1000","2012-02-04 20:59:42 +1000","2012-02-04 20:59:42 +1000",676,24546,19544,142,7702,3927,114,5,126,8,2,1
"5200135b83b6faed16b6176709f84058d19db8ce","flink","f1ba0b8faecf248904036b7fc96e498fb24df082","43dca4645900692cfa1027973195e93fd9e35901","1dd3ee6137660cbe3c1b4ecae2bc3bc5f2056403","2011-02-07 14:18:15 +0100","2011-02-07 14:18:15 +0100","2011-01-20 10:09:51 +0100","2011-01-20 10:09:51 +0100","2011-01-27 16:49:26 +0100","2011-01-27 16:49:26 +0100","2011-01-27 16:49:26 +0100","2011-01-27 16:49:26 +0100",68,2680,1160,206,12161,4297,24,5,103,9,3,1
"8b8135af79550bf732d5aaa98ee7d3d5116e4b4b","struts","fab687a07e8d873c82465b29188100debf61097f","2fada1ec05e61dfb0b3e43ab447a7673d689c684","bab451c6d80ee9b2685570d797e505768ff8bbe4","2016-02-15 10:37:26 -0400","2016-02-15 10:37:26 -0400","2016-02-15 08:28:01 -0400","2016-02-15 08:28:01 -0400","2016-02-15 10:34:15 -0400","2016-02-15 10:35:29 -0400","2016-02-15 10:34:15 -0400","2016-02-15 10:35:29 -0400",1,15,10,1,18,9,2,1,2,1,1,1
"8b8135af79550bf732d5aaa98ee7d3d5116e4b4b","struts","0d4905038119f614f021af5738154079b30bca24","2fada1ec05e61dfb0b3e43ab447a7673d689c684","bab451c6d80ee9b2685570d797e505768ff8bbe4","2016-02-15 10:37:26 -0400","2016-02-15 10:37:26 -0400","2016-02-15 08:28:01 -0400","2016-02-15 10:31:36 -0400","2016-02-15 10:34:15 -0400","2016-02-15 10:35:29 -0400","2016-02-15 10:34:15 -0400","2016-02-15 10:35:29 -0400",0,0,0,1,4,0,2,1,2,1,1,1
"e06d95d1b779da2762e46de6c8d72a3523498401","ambari","9310ab70ce178f6cd89d1be2be92081b26e2e832","cbef0c14682ae24f2754063c48ce521c58cdca27","083ac6dab5cf59c01da054eb656507c089a54620","2016-02-23 16:21:20 -0500","2016-02-23 16:21:20 -0500","2016-02-23 14:15:58 +0200","2016-02-23 14:15:58 +0200","2016-02-23 17:17:27 +0200","2016-02-23 17:18:57 +0200","2016-02-23 17:17:27 +0200","2016-02-23 17:18:57 +0200",152,7584,2131,54,3150,2401,118,23,8,6,3,1
"f796b93c31670b10cbdba96fa1e6da772635e8c2","flink","524ee1ef237a47c4bf95d776e3ba8957d8437a5a","d2faae2918fba7a07599c16efb7480d5aba05f76","62d08f9de1158a0768f828090d1ded20156acfe6","2011-04-15 12:14:03 +0200","2011-04-15 12:14:03 +0200","2011-03-06 17:59:21 +0100","2011-03-06 17:59:21 +0100","2011-03-09 14:13:57 +0100","2011-03-09 14:13:57 +0100","2011-03-09 14:13:57 +0100","2011-03-09 14:13:57 +0100",13,171,57,490,17706,47610,7,2,315,7,3,1
"c4b14b7244fc021c08ed4a5753887c0a493f527f","geode","27eceb1f49647df2207bcc966ba11631a4f5832e","3e1a9f69b0d07e311cc261656d6ba553b7120072","21743ec131735cb7c3fd11c6a4ce3e18b79b06f9","2015-10-15 09:05:33 -0700","2015-10-15 09:25:15 -0700","2015-09-21 14:56:17 -0700","2015-09-29 15:21:55 -0700","2015-10-14 09:51:34 -0700","2015-10-14 09:51:34 -0700","2015-10-14 09:51:34 -0700","2015-10-14 09:51:34 -0700",693,21229,139519,279,2894,8957,73,6,17,6,9,1
"3ff63fd2f9de8dd0f4cfa68b7a7e40195f230a5d","parquet-mr","14e05746ee12bcc484feab28a65e128763980b69","2dbd0d232e11dde8944b5cc41486aabcee6dc7d1","e70652e22cedab7440b477970fffb058fd888d5a","2013-06-05 15:05:09 -0700","2013-06-05 15:05:09 -0700","2013-06-03 01:15:30 -0700","2013-06-03 01:15:30 -0700","2013-06-05 14:35:38 -0700","2013-06-05 14:35:38 -0700","2013-06-05 14:35:38 -0700","2013-06-05 14:35:38 -0700",19,1033,194,9,98,54,17,1,6,2,2,1
"70c23bcd18502095acaa3d0794f877b24a7cab8b","ambari","4779515ac6180a659522c795f5eda3082eaaa4b0","3f0752ec09ab7df1831458e26f99a793e433514d","77dd10c29b72a9690df1bf09c5ef33b6b3a41977","2017-03-29 18:39:48 -0400","2017-03-29 18:39:48 -0400","2017-03-23 13:09:00 +0100","2017-03-23 13:09:25 +0100","2017-03-23 09:23:35 -0400","2017-03-23 09:23:35 -0400","2017-03-23 09:23:35 -0400","2017-03-23 09:23:35 -0400",38,808,136,2535,38604,208138,48,2,77,31,1,1
"ab93e78b5c468836dfcdfb1bff743e815cb6e455","ambari","dc31e516d95a6636a27d5fbadb9b5529983587c2","591bd9c1140dd76889682ac423b1c0cd96f14b6c","c7159a7acc77f3d417c6ff5b817aa04ebbcd68f3","2018-02-08 16:35:38 +0200","2018-02-08 16:35:38 +0200","2017-12-14 12:45:09 +0200","2017-12-14 12:45:24 +0200","2018-01-30 16:33:52 +0200","2018-02-05 14:57:12 +0200","2018-01-30 16:33:52 +0200","2018-02-05 14:57:12 +0200",993,55332,11519,1781,70977,159508,360,49,345,55,96,1
